X,Y,Z,Timestamp
-0.280459,0.015200,0.240074,1489692106582
-0.133064,0.464629,0.274678,1489692106779
-0.088787,0.118409,0.140152,1489692106976
0.165352,0.289794,0.037713,1489692107175
-0.003090,-0.090124,0.155140,1489692107372
-0.056790,0.502272,-0.023059,1489692107569
-0.121440,0.368290,0.072301,1489692107767
-0.132000,-0.062340,-0.088274,1489692107965
-0.276711,-0.439911,-0.141107,1489692108162
-1.603134,-2.807737,-0.240058,1489692108360
0.354770,0.407273,0.328232,1489692108558
-0.331685,-0.487354,-0.028826,1489692108755
-0.525387,0.348800,-0.445307,1489692108953
-0.572514,-0.258311,0.024207,1489692109150
-0.404263,-0.074812,0.265339,1489692109349
-0.502281,0.135100,-0.097597,1489692109547
-0.630266,-1.266017,0.062832,1489692109744
-0.842782,-1.041099,0.230537,1489692109942
-1.865977,-1.073334,-0.453457,1489692110141
-0.739389,-0.216344,0.112938,1489692110338
0.382914,0.102504,0.075292,1489692110534
0.401912,0.131191,-0.191495,1489692110740
0.596384,0.332040,0.231256,1489692110930
0.109823,0.402828,0.272630,1489692111127
-0.394921,0.544159,0.105595,1489692111326
0.005405,0.326044,0.079541,1489692111522
-0.062471,0.580834,0.158020,1489692111720
0.069809,1.012754,0.287271,1489692111918
1.475732,2.011431,0.140167,1489692112115
2.029965,-0.366399,-0.593750,1489692112313
-5.549370,-3.076782,0.931619,1489692112510
-0.543939,-0.740799,-0.500601,1489692112708
-1.084983,-1.708643,-0.543463,1489692112906
-1.369316,-0.994685,-0.688718,1489692113103
-1.717657,-0.475031,0.256976,1489692113301
0.485374,-0.011085,0.522224,1489692113500
-0.489101,-0.382435,-1.102677,1489692113696
-1.032003,0.035587,0.119189,1489692113894
-0.130532,-0.412323,1.009897,1489692114092
0.085811,-0.708216,-0.754761,1489692114295
-0.302173,-0.498218,-0.434851,1489692114487
-0.916611,-0.968398,0.022211,1489692114693
1.002870,0.569820,0.375371,1489692114883
0.345204,-0.012823,-0.556767,1489692115080
0.278588,-0.294821,0.219751,1489692115299
0.651406,-0.037090,0.618225,1489692115475
0.093607,0.416465,-0.742789,1489692115674
0.259811,0.406104,0.060474,1489692115870
0.238417,2.300897,0.142543,1489692116070
1.217077,1.892438,0.661512,1489692116266
0.499002,-0.212766,-0.132524,1489692116463
-1.032146,-0.861062,-0.137568,1489692116663
-0.890679,-1.215893,-0.406150,1489692116862
-1.107399,-0.276341,-0.806994,1489692117056
-1.715254,-0.401081,0.276104,1489692117254
0.046648,-1.268504,0.590368,1489692117455
