PosX,PosY,RSSI,Name
1.921138,4.593750,-54,egopi3
1.921138,4.593750,-74,egopi2
1.921138,4.593750,-55,egopi3
1.921138,4.593750,-73,egopi2
1.921138,4.593750,-56,egopi3
1.921138,4.593750,-77,egopi1
1.921138,4.593750,-73,egopi2
1.921138,4.593750,-57,egopi3
1.921138,4.593750,-79,egopi1
1.921138,4.593750,-74,egopi2
1.921138,4.593750,-59,egopi3
1.921138,4.593750,-85,egopi1
1.921138,4.593750,-77,Surge
1.921138,4.593750,-75,egopi2
1.921138,4.593750,-56,egopi3
1.921138,4.593750,-82,egopi1
1.921138,4.593750,-73,egopi2
1.921138,4.593750,-56,egopi3
1.921138,4.593750,-79,egopi1
1.921138,4.593750,-76,egopi2
1.921138,4.593750,-58,egopi3
1.921138,4.593750,-72,egopi2
1.921138,4.593750,-63,egopi3
1.921138,4.593750,-85,egopi1
1.921138,4.593750,-74,egopi2
1.921138,4.593750,-62,egopi3
1.921138,4.593750,-79,egopi1
1.921138,4.593750,-96,null
1.921138,4.593750,-73,egopi2
1.921138,4.593750,-61,egopi3
1.921138,4.593750,-84,egopi1
1.921138,4.593750,-98,null
1.921138,4.593750,-81,egopi2
1.921138,4.593750,-59,egopi3
1.921138,4.593750,-83,egopi1
1.921138,4.593750,-69,egopi3
1.921138,4.593750,-76,egopi1
1.921138,4.593750,-75,egopi2
1.921138,4.593750,-62,egopi3
1.921138,4.593750,-79,egopi1
1.921138,4.593750,-97,null
1.921138,4.593750,-70,Surge
1.921138,4.593750,-76,egopi2
1.921138,4.593750,-52,egopi3
1.921138,4.593750,-82,egopi1
1.921138,4.593750,-81,egopi2
1.921138,4.593750,-56,egopi3
1.921138,4.593750,-97,null
1.921138,4.593750,-82,egopi1
1.921138,4.593750,-80,egopi2
1.921138,4.593750,-58,egopi3
1.921138,4.593750,-73,egopi1
1.921138,4.593750,-88,egopi2
1.921138,4.593750,-57,egopi3
1.921138,4.593750,-80,egopi1
1.921138,4.593750,-77,egopi2
1.921138,4.593750,-55,egopi3
1.921138,4.593750,-80,egopi1
1.921138,4.593750,-83,egopi2
1.921138,4.593750,-50,egopi3
1.921138,4.593750,-48,egopi3
1.921138,4.593750,-75,egopi1
1.921138,4.593750,-43,egopi3
1.921138,4.593750,-76,egopi1
1.921138,4.593750,-46,egopi3
1.921138,4.593750,-72,egopi2
1.921138,4.593750,-75,egopi1
1.921138,4.593750,-69,egopi2
1.921138,4.593750,-84,egopi1
1.921138,4.593750,-71,Surge
1.921138,4.593750,-64,egopi2
1.921138,4.593750,-46,egopi3
1.921138,4.593750,-91,egopi1
1.921138,4.593750,-67,egopi2
1.921138,4.593750,-47,egopi3
1.921138,4.593750,-76,egopi1
1.921138,4.593750,-91,null
1.921138,4.593750,-69,egopi2
1.921138,4.593750,-76,egopi1
1.921138,4.593750,-68,egopi2
1.921138,4.593750,-74,egopi2
1.921138,4.593750,-51,egopi3
1.921138,4.593750,-80,egopi1
1.921138,4.593750,-71,egopi2
1.921138,4.593750,-57,egopi3
1.921138,4.593750,-78,egopi2
1.921138,4.593750,-70,egopi3
1.921138,4.593750,-75,egopi1
1.921138,4.593750,-72,egopi2
1.921138,4.593750,-55,egopi3
1.921138,4.593750,-73,egopi1
1.921138,4.593750,-71,egopi2
1.921138,4.593750,-60,egopi3
1.921138,4.593750,-60,egopi3
1.921138,4.593750,-83,egopi1
1.921138,4.593750,-81,egopi2
1.921138,4.593750,-55,egopi3
1.921138,4.593750,-94,null
1.921138,4.593750,-76,egopi1
1.921138,4.593750,-76,egopi2
1.921138,4.593750,-46,egopi3
1.921138,4.593750,-77,egopi1
1.921138,4.593750,-94,null
1.921138,4.593750,-82,egopi2
1.921138,4.593750,-51,egopi3
1.921138,4.593750,-83,egopi1
1.921138,4.593750,-77,egopi2
1.921138,4.593750,-55,egopi3
1.921138,4.593750,-83,egopi1
1.921138,4.593750,-76,egopi2
1.921138,4.593750,-78,egopi1
1.921138,4.593750,-97,null
1.921138,4.593750,-94,null
1.921138,4.593750,-52,egopi3
1.921138,4.593750,-76,egopi1
1.921138,4.593750,-58,egopi3
1.921138,4.593750,-77,egopi2
1.921138,4.593750,-95,null
1.921138,4.593750,-81,egopi1
1.921138,4.593750,-73,egopi2
1.921138,4.593750,-79,egopi1
1.921138,4.593750,-71,Surge
1.921138,4.593750,-52,egopi3
1.921138,4.593750,-75,egopi2
1.921138,4.593750,-78,egopi1
1.921138,4.593750,-55,egopi3
1.921138,4.593750,-74,egopi1
1.921138,4.593750,-55,egopi3
1.921138,4.593750,-73,egopi2
1.921138,4.593750,-77,egopi1
