X,Y,Z,Timestamp
-0.249334,0.148002,-0.208586,1489665508955
-0.301917,0.117422,0.359649,1489665509151
-0.219313,0.206214,-0.100913,1489665509349
-0.438225,1.018250,-0.276767,1489665509546
-0.406095,1.403546,-0.376220,1489665509744
-0.681148,0.928422,0.999412,1489665509941
0.377968,-0.688672,0.812713,1489665510138
-0.216619,0.349315,-1.366002,1489665510336
0.099875,0.331444,1.302039,1489665510533
0.826554,-0.415130,-0.414372,1489665510730
-0.348175,0.508544,-1.356229,1489665510928
0.470633,-0.965248,2.755638,1489665511125
0.153834,0.019485,-2.144478,1489665511322
-0.093051,0.266541,0.101719,1489665511520
0.901369,-1.201800,1.546753,1489665511717
-0.163403,0.381196,-2.218554,1489665511914
0.262586,0.041567,1.547114,1489665512112
0.953621,-1.145839,0.044537,1489665512310
0.557350,-0.075393,-1.277755,1489665512509
1.410759,-1.270043,1.597682,1489665512704
0.951714,-1.499876,-0.472110,1489665512903
0.336955,-0.718131,-0.506673,1489665513098
-0.766699,-1.537410,-0.284351,1489665513297
-0.079638,-2.727892,0.499778,1489665513496
1.323549,0.664704,0.290351,1489665513693
-1.364778,2.707916,-0.019999,1489665513891
-1.781283,0.399061,-0.948761,1489665514087
-1.831848,-0.540267,0.816374,1489665514282
0.437264,-0.288788,1.293435,1489665514482
-0.720423,-0.345364,-2.320143,1489665514680
-0.876531,0.151381,1.094327,1489665514876
0.597129,0.718392,0.388109,1489665515073
-1.030681,-0.372760,-1.216382,1489665515276
0.629831,0.441465,2.569585,1489665515468
-0.362550,0.016150,-2.750504,1489665515673
-0.733246,-0.081218,0.794279,1489665515862
1.033849,0.995106,1.370700,1489665516059
-0.942533,-0.333281,-2.480838,1489665516257
0.351678,0.125427,1.815767,1489665516455
0.954914,0.563260,-0.248161,1489665516649
0.091353,-0.195797,-1.484254,1489665516846
0.895568,1.074865,1.473507,1489665517044
1.408833,1.574417,0.319199,1489665517243
0.818774,1.008742,-0.661118,1489665517441
-0.335446,0.434741,-0.876170,1489665517637
1.169953,-0.643412,0.872463,1489665517835
3.325088,-0.254634,0.506971,1489665518036
-0.896330,1.694199,-0.308311,1489665518230
-3.001928,-0.092040,-0.099047,1489665518427
-1.658126,-1.268929,-1.015198,1489665518624
-0.725280,-1.733862,-0.331690,1489665518825
-0.099798,-1.213793,1.511030,1489665519016
-0.918542,0.901447,0.574277,1489665519213
-0.615677,-0.610535,-1.747074,1489665519411
-0.729533,-0.040805,1.582458,1489665519610
-0.392680,0.522496,-0.743335,1489665519808
0.186291,-1.050955,-0.685850,1489665520006
-0.026809,0.223950,1.658784,1489665520205
-0.099298,0.200189,-1.412361,1489665520400
-0.034092,-0.589580,0.040785,1489665520596
-0.304551,1.408462,2.009665,1489665520794
-0.267027,-0.408793,-2.530486,1489665520989
0.056209,0.311943,0.673376,1489665521189
-0.313023,1.517410,1.327479,1489665521386
0.324741,0.529810,-2.112813,1489665521584
-1.134856,1.332218,1.706770,1489665521786
-0.566424,1.488131,-0.256709,1489665521978
-0.351359,0.514618,-0.816214,1489665522176
-0.575040,0.271318,-0.175724,1489665522376
